ticket_id,user_id,created_at,hour_of_day,day_of_week,age,gender,country,city,subscription,registration_date,days_since_registration,total_likes,total_matches,messages_sent,active_days_last_week,boosts_purchased,superlikes_purchased,past_tickets_count,avg_csat_history,platform,app_version,channel,language,user_message,support_response,message_length_chars,message_length_words,sentiment_score,priority,resolution_time_minutes,escalated,csat_ticket,category
TW-59F7515E16,U72573633,2025-08-02T19:34:46,19,Saturday,18,male,RU,Екатеринбург,free,2024-11-20,255,84,3,16,2,0,0,1,4.6,Android,4.12.3,in_app_chat,ru,"Хочу обратиться! Как изменить номер телефона, привязанный к профилю?","Приветствуем! Отправили новое письмо для восстановления пароля, проверьте папку Спам.",68,9,-0.23,low,54.3,0,4,account
TW-43C14A22B8,U56387620,2025-03-22T00:49:04,0,Saturday,35,female,RU,Санкт-Петербург,free,2024-07-15,250,318,25,49,5,0,0,2,4.5,Android,4.14.1,email,ru,"Нужна помощь, сменил номер телефона, теперь не могу зайти в свой акаунт.","Приветствуем! Для смены email потребуется верификация, детали отправили на почту.",72,12,-0.245,medium,41.7,1,4,account
TW-DFD4F9CC65,U34909961,2025-02-17T09:51:14,9,Monday,30,female,RU,Москва,premium,2023-07-13,585,436,54,148,3,0,4,1,4.9,iOS,4.14.1,email,ru,"Привет, кнопка лайк перестала работать с последнего обновления, экран не реагирует. Очень прошу помочь.","Приветствуем! Зафиксировали баг, разработчики работают над исправлением в следующем апдейте.",103,14,-0.411,high,45.2,1,3,bug
TW-0A18D94F62,U72970560,2025-12-22T06:56:48,6,Monday,38,male,RU,Волгоград,free,2024-10-09,439,163,8,24,2,0,0,0,,Android,4.15.0,email,ru,"Добрый день. Платеж прошёл, чек есть, а в профиле всё ещё free-версия. Очень прошу помочь","Добрый день! Передали платёж на проверку, ответим в течение суток.",89,15,-0.113,high,71.5,1,3,payment
TW-EF924E9DA6,U46536729,2026-02-15T19:15:02,19,Sunday,18,male,RU,Омск,free,2025-12-08,69,283,38,193,4,1,2,1,4.6,Android,5.0.1,email,ru,"Негруязтся фото в ленте, просто серый экран. Заранее благодарю.","Здравствуйте! Проблема связана с серверной частью, уже устраняем.",63,9,-0.446,medium,380.7,0,4,bug
TW-243F401380,U83035137,2025-04-09T03:06:43,3,Wednesday,35,female,RU,Краснодар,premium,2024-11-02,158,44,3,14,5,3,2,0,,Web,5.1.0,telegram_bot,ru,"Привет! Списали 499 рублей за подписку прмеиум, но она не активировалась с прошлой недели.","Добрый день! Платёж в обработке у платёжной системы, обычно занимает до 24 часов.",90,14,-0.143,high,59.2,0,5,payment
TW-0E334F0F57,U31409428,2025-02-08T21:52:49,21,Saturday,22,female,RU,Новосибирск,premium,2024-04-27,287,592,51,255,7,2,0,4,5.0,Android,4.12.1,telegram_bot,ru,"Привет, купил премиум, не понял что это автопродление, требую возврата. Срочо нужна ваша помощь.","Добрый день! Запрос на возврат передан в бухгалтерию, ожидайте до 10 рабочих дней.",96,14,-0.118,medium,64.6,0,4,refund
TW-F7BACF87D8,U21518493,2025-10-13T20:59:19,20,Monday,24,female,RU,Москва,free,2025-07-09,96,25,1,15,4,0,1,2,4.9,Android,5.0.1,in_app_chat,ru,"Добрый день! Промокод LOVE10 не применяется при покупке, что делать? Пожалуйста, помогите разобраться","Приветствуем! Отправили запрос на возврат двойного списания, средства вернутся в течение 5 рабочих дней.",101,13,-0.211,medium,48.2,0,4,payment
TW-998704C910,U31106391,2025-02-24T15:26:23,15,Monday,25,male,RU,Челябинск,premium,2024-09-22,155,86,8,45,6,2,0,1,2.3,Android,4.13.0,in_app_chat,ru,"привет. Заблокировали аккаунт за якобы фейк, но это моё фото. Буду ждать вашего решения","Добрый день! Фото отклонено, плохо видно лицо, загрузите более чёткое селфи.",87,14,-0.228,high,40.8,0,4,moderation
TW-53E727EE31,U13999732,2026-01-20T10:07:43,10,Tuesday,18,male,RU,Новосибирск,free,2025-12-31,20,147,7,14,2,1,1,0,,iOS,4.14.1,in_app_chat,ru,"здравствуйте, уважаемая  поддержка. Купил годовую подписку, деньги ушли, а в приложении ничего не появилось.","Приветствуем! Передали платёж на проверку, ответим в течение суток.",108,14,-0.22,medium,159.2,0,5,payment
TW-AB0CEFBE77,U40407829,2025-12-04T02:13:24,2,Thursday,31,female,RU,Санкт-Петербург,free,2025-07-31,126,299,30,32,4,2,0,2,4.4,iOS,4.14.0,app_store_review,ru,"здравствуйте, саппорт. Есть ли приложение для планшета или только версия для телефона? Буду ждать вашего решения.","Добрый день! Спасибо за предложение, передали команде продукта.",113,16,-0.119,high,28.8,0,3,other
TW-C329A132BD,U60466158,2025-11-19T06:44:57,6,Wednesday,26,male,RU,Екатеринбург,premium,2025-11-01,18,94,4,13,3,1,3,0,,Android,4.15.0,email,ru,"прошу помочь. Аккаунт на проверке уже неделю, это нормальный срок? Очень надеюсь на решение.","Добрый день! Фото отклонено, плохо видно лицо, загрузите более чёткое селфи.",92,14,-0.304,medium,121.7,1,2,moderation
TW-9940ECCC58,U81364409,2025-04-09T18:22:23,18,Wednesday,20,male,RU,Омск,free,2024-06-20,293,182,14,54,1,0,0,2,4.0,iOS,4.14.0,in_app_chat,ru,"Нужна помощь. Свайпы не работают, приходится тыкать на сердечко руками. Очень прошу помочь.","Приветствуем! Зафиксировали баг, разработчики работают над исправлением в следующем апдейте.",91,13,-0.422,medium,172.3,0,2,bug
TW-A626F99A68,U40737260,2025-04-30T16:42:59,16,Wednesday,21,male,RU,Саратов,premium,2024-10-30,182,127,11,43,0,1,2,0,,iOS,5.0.1,email,ru,"Добрый день! Списали 1490 рулбей за подписку преимум,но она не активировалась только что.",Здравствуйте! Сменить способ оплаты можно через настройки магазина приложений.,89,13,-0.354,medium,23.5,0,5,payment
TW-98456607BB,U58815513,2026-02-20T16:38:31,16,Friday,30,male,RU,Екатеринбург,free,2025-11-02,110,332,30,77,2,0,0,2,4.7,Android,4.12.1,in_app_chat,ru,"Здравствуйте, уважаемая поддержка, смс с кодом подтверждения не приходит пару часов назад. Срочно нужна ваша помощь.",Добрый день! Отправили инструкцию по восстановлению доступа после взлома.,116,16,0.059,high,25.8,1,4,account
TW-0E6FE1B192,U32623977,2025-01-30T11:53:13,11,Thursday,27,male,RU,Санкт-Петербург,free,2024-05-25,250,28,0,8,1,0,0,2,5.0,Android,4.15.0,in_app_chat,ru,"добрый вечер, не могу оплатить премиум на айфоне, пишет ошибку непонятную. Срочно нужна ваша помощь","Здравствуйте! Отправили запрос на возврат двойного списания, средства вернутся в течение 5 рабочих дней.",99,15,-0.622,medium,132.5,0,5,payment
TW-17486300B9,U77492077,2025-03-24T03:26:08,3,Monday,24,female,RU,Новосибирск,free,2025-02-24,28,52,3,8,0,0,1,0,,Android,4.12.1,in_app_chat,ru,"здравствуйте, уважаемая поддержка, уже 4 дня анкета на модерации, почему так долго? Пишу уже не первый раз","Здравствуйте! Фото отклонено, плохо видно лицо, загрузите более чёткое селфи.",106,17,-0.36,medium,33.4,0,4,moderation
TW-8AB9AB2A64,U22715047,2025-01-14T05:52:17,5,Tuesday,34,male,RU,Екатеринбург,free,2024-10-17,89,94,7,44,4,0,1,0,,Android,4.15.0,email,ru,"здравствуйте. Профиль скрыли из поиска, хотя правила я не нарушал. Очень надеюсь на решение.","Здравствуйте! Решение модератора пересмотрено, ваш профиль восстановлен.",92,14,-0.232,medium,283.5,0,5,moderation
TW-6D00481BFE,U66214047,2026-02-18T11:35:57,11,Wednesday,32,female,RU,Москва,free,2025-02-15,368,100,10,72,2,0,1,1,5.0,iOS,5.0.0,in_app_chat,ru,Привет. Как вернуть деньги  за неверно выбранный тариф?,"Добрый день! Детский возврат оформлен, средства вернутся в течение 5 рабочих дней.",55,8,-0.331,medium,133.9,0,4,refund
TW-F573CDBCF2,U15609851,2025-12-21T08:49:38,8,Sunday,19,male,RU,Волгоград,free,2025-06-17,187,93,10,55,5,1,0,1,4.4,iOS,4.15.0,in_app_chat,ru,"Добрый день. Двойное списание, прошу вернуть один из платежй.","Добрый день! Возврат подтверждён, деньги поступят на карту в ближайшие дни.",61,9,-0.598,medium,210.9,1,3,refund
TW-91C280D13A,U13554160,2025-10-27T12:00:37,12,Monday,25,male,RU,Краснодар,free,2025-01-29,271,143,2,8,2,1,2,2,2.6,Android,5.0.1,in_app_chat,ru,"добрый день. Не могу отправить голосовое, кнопка не реагирует на нажатие. Без вашего ответа не разберусь.","Приветствуем! Зафиксировали баг, разработчики работают над исправлением в следующем апдейте.",105,16,-0.354,medium,100.8,0,5,bug
TW-160E5861F9,U32760925,2025-01-26T22:47:24,22,Sunday,31,male,RU,Екатеринбург,free,2024-11-18,69,165,10,42,2,0,3,3,2.4,iOS,5.1.0,email,ru,"Добрый день, кнопка лайк перестала работать пару часов назад, экран не реагирует. Буду благодарен за помощь","Приветствуем! Зафиксировали баг, разработчики работают над исправлением в следующем апдейте.",107,16,-0.724,medium,240.6,0,3,bug
TW-F716C085FA,U68624836,2025-06-10T01:52:00,1,Tuesday,31,male,RU,Москва,premium,2025-03-07,95,102,5,7,2,1,2,2,4.1,Android,4.14.1,in_app_chat,ru,"прошу помочь. Купил  подписку, деньги ушли, а в приложении ничего не появилось. Надеюсь на скорый ответ","Здравствуйте! Премиум активирован, перезайдите в приложение для обновления статуса.",103,16,-0.188,medium,26.8,1,4,payment
TW-9CC70BEA37,U56246498,2026-03-24T02:32:14,2,Tuesday,30,male,RU,Уфа,premium,2025-09-24,181,387,24,121,5,2,3,1,4.0,iOS,5.0.0,in_app_chat,ru,"добрый день, не проходит оплаа картой Мир, хотя на других сервисах всё ок. Надеюсь на скорый ответ.","Добрый день! Премиум активирован, перезайдите в приложение для обновления статуса.",99,17,-0.011,high,18.5,0,4,payment
TW-44B2BDEAF2,U54975820,2025-11-14T10:46:14,10,Friday,29,male,RU,Санкт-Петербург,free,2025-10-05,40,106,2,14,3,0,0,1,3.4,iOS,4.13.2,email,ru,"Хочу обратиться! Не могу войти в аккаунт, пишет что такого пользователя не существует. Срочно нужна ваша помощь.","Добрый день! Для смены email потребуется верификация, детали отправили на почту.",112,17,-0.604,low,343.1,0,3,account
TW-EA57782A85,U88607186,2025-11-06T01:36:21,1,Thursday,19,female,RU,Воронеж,free,2025-10-07,30,200,12,16,1,0,1,1,5.0,iOS,5.1.0,in_app_chat,ru,"Здраствуйте, уважаемая поддержка. Вход по Apple ID выдаёт ошибку, не пускает в аккаунт.",Здравствуйте! Сменить номер телефона можно в разделе Безопасность.,87,13,0.362,low,39.8,0,4,account
TW-AB44BBA6C9,U41364147,2025-05-25T07:38:46,7,Sunday,30,female,RU,Санкт-Петербург,free,2024-05-07,383,161,13,73,1,1,1,0,,Android,4.14.0,email,ru,хочу обратиться. Вылетает при попытке загрузить новое фото на Xiaomi Redmi. Жду ответа.,Здравствуйте! Проверьте разрешения приложения в настройках телефона.,87,13,-0.319,low,437.0,0,4,bug
TW-824D919760,U49194969,2025-02-09T16:31:28,16,Sunday,34,female,RU,Санкт-Петербург,free,2024-12-24,47,180,12,30,2,1,0,0,,iOS,4.14.0,in_app_chat,ru,добрый день. Есть ли приложение для планшета или только версия для  телефона? Очень пршу помочь.,"Здравствуйте! Переслали ваш вопрос профильному специалисту, ответим дополнительно.",96,15,0.249,low,50.8,0,5,other
TW-785E6F0301,U75214760,2025-08-21T22:49:22,22,Thursday,34,female,RU,Санкт-Петербург,free,2024-09-14,341,232,21,108,1,0,0,2,4.1,iOS,5.0.0,in_app_chat,ru,Почему отклонили мою фотографию? На ней ничего запрещённого нет,"Добрый день! Верификация требует селфи с определённым жестом, инструкция в приложении.",63,9,-0.395,medium,22.7,0,5,moderation
TW-BF96AA0BD3,U35666748,2025-05-26T20:33:30,20,Monday,26,female,RU,Саратов,free,2025-04-09,47,20,1,17,1,0,0,1,3.1,Android,4.14.1,email,ru,"Здравствуйте! Не могу продлить подписку, кнопка оплаты не работает. Спасиибо заранее.",Добрый день! Для применения промокода его нужно ввести до нажатия кнопки Оплатить.,85,11,0.104,medium,47.9,0,5,payment
TW-5AC1C3BA37,U97238656,2025-10-30T06:17:49,6,Thursday,20,female,RU,Челябинск,premium,2025-10-21,9,33,2,22,2,1,1,3,4.2,iOS,4.15.0,telegram_bot,ru,"здравствуйте,саппорт. Оплата прошла дважды через СБП, один платёж верните.","Здравствуйте! Возврат возможен только через магазин приложений, отправьте запрос туда.",74,9,-0.272,medium,54.8,1,2,refund
TW-8298594058,U35217944,2025-12-22T23:39:39,23,Monday,31,male,RU,Москва,free,2025-12-16,6,58,6,25,4,1,0,3,3.9,iOS,5.0.1,in_app_chat,ru,нужна помощь! Счётчик непрочитанных сообщений показывает неверное число. Буду ждать вашего решения.,"Здравствуйте! Попробуйте переустановить приложение, это часто решает проблему.",99,12,-0.045,low,342.3,0,3,bug
TW-3081BEF74A,U49367427,2025-01-22T03:09:01,3,Wednesday,24,female,RU,Краснодар,free,2024-12-27,26,187,8,6,2,1,2,3,2.4,Android,4.15.0,telegram_bot,ru,"Прошу помочь, не проходит опата картой ВТБ, хотя на других сервисах всё ок. Заранее благодарю.","Приветствуем! Проверили ваш платёж, средства поступили, подписка активирована.",94,15,-0.007,medium,18.6,0,5,payment
TW-F867998685,U11959410,2026-02-01T18:41:21,18,Sunday,33,female,RU,Барнаул,free,2025-10-09,115,105,10,14,2,1,0,1,5.0,Android,4.15.0,in_app_chat,ru,"Здравствуйте, удалили фото в купальнике с пляжа, хотя ничего неприличного нет. Жду ответа.","Приветствуем! Фото отклонено, плохо видно лицо, загрузите более чёткое селфи.",90,13,0.011,medium,230.9,0,4,moderation
TW-097815F0A4,U10561328,2025-09-26T09:36:47,9,Friday,30,male,RU,Санкт-Петербург,free,2025-04-18,161,110,7,18,4,1,0,1,3.2,iOS,4.14.0,in_app_chat,ru,"здравствуйте, саппорт! При загрузке фото в профиль пишет ошибку, а интернет работает. Пишу уже не первый раз.","Здравствуйте! Пришлите версию приложения и модель телефона, передадим разработчикам.",109,17,-0.142,low,575.9,0,3,bug
TW-24234925C0,U15527647,2025-04-11T22:19:21,22,Friday,31,male,RU,Ростов-на-Дону,premium,2024-11-18,144,464,37,102,1,1,2,4,4.1,Web,4.13.0,app_store_review,ru,"добрый вечер, хочу пожаловаться, человек вымогает деньги через чат. Без вашего ответа не разберусь.","Добрый день! Профиль проверен, нарушения подтверждены, пользователь заблокирован.",99,14,-0.795,high,175.0,0,3,complaint
TW-41ADBCAA3F,U46663858,2025-05-01T02:08:08,2,Thursday,37,female,RU,Москва,premium,2025-04-08,23,81,9,35,5,0,4,1,2.9,Android,4.12.1,in_app_chat,ru,"Здравствуйте, саппорт, не открываются настройки приватности, кнопка ничего не делает. Очень надеюсь на решение.","Здравствуйте! Очистите кеш и перезагрузите устройство, это должно помочь.",111,14,-0.687,medium,309.2,0,4,bug
TW-ACDF497446,U32246396,2025-03-26T04:46:42,4,Wednesday,34,male,RU,Москва,free,2024-04-02,358,93,6,46,2,0,1,1,5.0,Android,5.0.1,in_app_chat,ru,Хочу обратиться! Как оспорить решение модератора по анкете? Буду ждать вашего решения.,"Здравствуйте! Верификация требует селфи с определённым жестом, инструкция в приложении.",86,12,-0.077,low,247.0,0,4,moderation
TW-A9A7936282,U49999605,2026-03-16T19:29:32,19,Monday,18,male,RU,Челябинск,free,2025-10-18,149,109,10,55,0,0,1,0,,Android,4.14.1,in_app_chat,ru,"Добрый вечер! Промокод VALENTINE не применяется при покупке, что делать?","Здравствуйте! Премиум активирован, перезайдите в приложение для обновления статуса.",72,10,-0.329,medium,29.9,0,4,payment
TW-0A887D1015,U59501845,2025-10-20T14:49:08,14,Monday,30,male,RU,Казань,premium,2025-02-14,248,492,33,70,1,3,0,1,3.6,Android,4.14.1,email,ru,"Проу помочь, модератор отклонил фото с друзьями, где я отмечен. Буду ждать вашего решения.",Здравствуйте! Для ускорения модерации следуйте правилам оформления анкеты.,90,14,-0.164,medium,26.8,0,3,moderation
TW-0979BB2CCF,U59551526,2025-01-12T10:43:19,10,Sunday,22,male,RU,Санкт-Петербург,free,2025-01-10,2,12,1,15,3,0,1,0,,Android,4.14.1,telegram_bot,ru,"купил годовую подписку, деньги ушли, а в приложении ничего не появилось.","Добрый день! Отправили запрос на возврат двойного списания, средства вернутся в течение 5 рабочих дней.",72,11,-0.144,medium,37.7,0,5,payment
TW-FEF2833893,U41665159,2025-04-01T09:44:58,9,Tuesday,32,male,RU,Саратов,free,2024-12-01,121,82,7,26,1,1,1,2,4.9,Android,5.0.1,in_app_chat,ru,Вопрос по работе с блогерами и рекламе в приложении.,Добрый день! Партнёрские программы обсуждаются через partners@twinby.com.,52,9,0.245,medium,36.0,0,5,other
TW-03AA967EA2,U30704183,2025-07-22T19:58:29,19,Tuesday,18,male,RU,Саратов,premium,2025-03-14,130,221,11,64,4,1,0,0,,Android,4.12.3,in_app_chat,ru,Прошу помочь. Вылетает при попытке загрузить новое фото на Xiaomi Redmi.,Приветствуем! Проверьте разрешения приложения в настройках телефона.,72,11,-0.261,high,43.1,0,4,bug
TW-94B61BA837,U59494682,2026-03-24T02:49:27,2,Tuesday,29,female,RU,Новосибирск,free,2025-11-21,123,419,8,45,6,0,1,0,,iOS,4.15.0,in_app_chat,ru,Хочу обратиться! Общий вопрос: как приложение работает в роуминге?,Приветствуем! Информация о политике конфиденциальности есть на нашем сайте.,66,9,0.127,medium,12.2,0,4,other
TW-E0F8E02D20,U49686640,2025-07-08T09:15:09,9,Tuesday,31,female,RU,Екатеринбург,free,2024-05-19,415,545,21,86,3,1,0,0,,iOS,5.0.1,in_app_chat,ru,"Нужна помощь, не могу оплатить премиум на Pixel 7, пишет ошибку «повторите попытку позже». Без вашего ответа не разберусь.",Здравствуйте! Для применения промокода его нужно ввести до нажатия кнопки Оплатить.,122,19,-0.162,medium,11.3,0,4,payment
TW-B98F3DD63F,U55818005,2025-02-04T01:24:54,1,Tuesday,34,male,RU,Воронеж,free,2024-10-13,114,370,30,77,3,0,1,2,2.9,iOS,5.0.1,app_store_review,ru,Прошу помоьч. После обновления до 5.0.0 пропали пуш-уведомления о матчах. Пишу уже не первый раз,"Добрый день! Зафиксировали баг, разработчики работают над исправлением в следующем апдейте.",96,15,-0.421,medium,340.1,0,3,bug
TW-10B0FD4A1F,U61292223,2026-01-07T22:52:25,22,Wednesday,42,male,RU,Омск,free,2025-11-18,50,123,7,14,1,0,2,0,,Android,4.13.2,in_app_chat,ru,"уведомления приходят, но при открытии чат пустой. Надеюсь на скорый ответ.","Приветствуем! Пришлите версию приложения и модель телефона, передадим разработчикам.",74,11,-0.21,low,34.4,0,3,bug
TW-5E7E05CA4E,U65708923,2025-02-27T03:10:40,3,Thursday,35,male,RU,Москва,premium,2025-02-02,25,303,24,45,3,3,1,0,,iOS,4.14.0,app_store_review,ru,"нужна помощь. Платеж прошёл, чек есть, а в профиле всё ещё free-версия.","Приветствуем! Проблема на стороне банка, рекомендуем попробовать другую карту.",71,12,-0.601,high,41.1,0,5,payment
TW-CB0E609CED,U98733599,2025-09-21T19:33:40,19,Sunday,31,male,RU,Омск,free,2025-07-19,64,479,20,85,4,0,2,0,,iOS,5.0.0,email,ru,"Здравствуйте, саппорт. Заблокировали аккаунт за якобы фейк, но это моё фото.","Добрый день! Блокировка снята, приносим извинения за неудобство.",76,11,-0.661,medium,249.2,0,4,moderation
TW-D6DE2B6519,U30216239,2025-06-23T10:24:07,10,Monday,33,male,RU,Краснодар,free,2024-12-18,187,140,9,43,3,1,1,0,,Android,4.13.0,in_app_chat,ru,"Хочу обратиться, не работает поиск по имени, ничего не находит. Очень надеюсь на решение.","Приветствуем! Попробуйте переустановить приложение, это часто решает проблему.",89,14,-1.0,high,162.2,0,4,bug
TW-E860DA73F8,U37267878,2025-06-11T04:04:12,4,Wednesday,39,female,RU,Москва,free,2024-03-20,448,351,24,90,1,0,0,0,,iOS,4.15.0,in_app_chat,ru,"Прошу помочь, не грузятся фото в ленте, просто серый экран. Буду благодарен за помощь.","Приветствуем! Проблема связана с серверной частью, уже устраняем.",86,14,-0.693,medium,241.2,0,4,bug
TW-4CDB838120,U70656115,2025-04-27T18:18:26,18,Sunday,18,male,RU,Ижевск,free,2024-10-11,198,54,5,24,2,1,0,2,2.5,iOS,4.12.1,email,ru,нужна помощь! После оплаты премиума новые лайки всё  равно ограничены.,Приветствуем! Сменить способ оплаты можно через настройки магазина приложений.,70,10,-0.325,medium,56.3,0,4,payment
TW-AA7BE84C08,U99500123,2025-12-12T02:21:18,2,Friday,29,female,RU,Сочи,free,2025-03-22,265,59,3,24,0,0,0,3,4.6,iOS,4.15.0,email,ru,"добрый день. Хочу удалить свой аккаунт навсегда, как это сделать?",Приветствуем! Сменить номер телефона можно в разделе Безопасность.,65,10,-0.125,low,135.2,0,5,account
TW-31D9539532,U51561712,2026-01-09T13:23:54,13,Friday,23,male,RU,Воронеж,free,2025-11-21,49,9,0,3,1,0,1,2,2.3,Android,4.12.1,telegram_bot,ru,"Добрый вечер, вопрос по работе с блогерами и рекламе в приложении.","Добрый день! Рады, что приложение оказалось полезным, спасибо за отзыв!",66,11,0.013,low,168.7,0,5,other
TW-AA07E5B186,U51198771,2026-03-03T00:58:30,0,Tuesday,24,male,RU,Челябинск,free,2025-07-02,244,260,19,116,4,0,0,1,5.0,iOS,4.13.0,in_app_chat,ru,"нужна помощь! Оскорбительные сообщения от юзера с ником dma_777, нужно принять меры. Спасибо заранее","Приветствуем! Профиль проверен, нарушения подтверждены, пользователь заблокирован.",100,14,-0.659,high,44.6,0,3,complaint
TW-738CC3031F,U29092512,2025-11-29T06:17:01,6,Saturday,29,female,RU,Казань,free,2024-12-09,355,440,8,21,2,0,1,0,,iOS,5.0.1,email,ru,"Прошу помочь, забыл пароль, письмо для восстановления не приходит на почту.","Добрый день! Проверьте настройки антиспама, письма могут попадать туда.",75,11,-0.138,medium,41.8,0,5,account
